"Date range","Bartholomew Road","Cornwallis Road"
"24 Jan to 30 Jan",0,451
"31 Jan to 6 Feb",1020,432
"7 Feb to 13 Feb",1882,215
"14 Feb to 20 Feb",1263,158
"21 Feb to 27 Feb",1066,191
"28 Feb to 6 Mar",747,126
"7 Mar to 13 Mar",654,142
"14 Mar 20 Mar",622,224
"21 Mar to 27 Mar",519,166
"28 Mar to 3 Apr",414,112
"4 Apr to 10 Apr",559,172
"11 Apr to 17 Apr",521,162
"18 Apr to 24 Apr",302,90
"25 Apr to 1 May",540,138
"2 May to 8 May",422,112
"9 May to 15 May",319,80
"16 May to 22 May",226,75
"23 May to 29 May",260,65
